name,crop,soil,shape,area_ha,radius_m,wkt,variete,annee,nb_pieds,densite_pl_ha,ecart_inter_m,ecart_rang_m,date_plantation,surface_cadastre_ha,designation
Bloc A,olivier,,polygon,85.70,,"POLYGON((10.005970 36.447765, 10.006313 36.448421, 10.006442 36.449525, 10.007172 36.450181, 10.007901 36.451665, 10.008416 36.452874, 10.008674 36.453529, 10.008159 36.453909, 10.008674 36.454876, 10.009060 36.455428, 10.010047 36.456843, 10.009961 36.457706, 10.010047 36.458638, 10.010176 36.459639, 10.010390 36.459881, 10.005755 36.461986, 9.995413 36.455652, 9.998331 36.453391, 9.999404 36.454013, 9.999586 36.453853, 9.999726 36.453849, 9.999763 36.453952, 9.999844 36.454030, 9.999930 36.454000, 10.000010 36.454000, 10.000075 36.453978, 10.000144 36.453948, 10.000209 36.453944, 10.000273 36.453909, 10.000311 36.453827, 10.000343 36.453741, 10.000343 36.453676, 10.000423 36.453568, 10.000756 36.453266, 10.000852 36.453249, 10.000970 36.453327, 10.001078 36.453422, 10.001206 36.453327, 10.001180 36.453253, 10.001104 36.453184, 10.001019 36.453081, 10.001008 36.453029, 10.001255 36.452895, 10.001308 36.452891, 10.001861 36.452451, 10.001898 36.452403, 10.000729 36.450880, 10.005970 36.447765))",Arbequina,2010,142792,1666,4.0,1.5,2010-07-01,94.00,Bloc A-Olivier-Arbequina-2010
Bloc B,olivier,,polygon,80.00,,"POLYGON((9.997580 36.452770, 9.990757 36.456722, 9.987903 36.458103, 9.987602 36.458500, 9.987667 36.458742, 9.987688 36.458914, 9.987452 36.459173, 9.987173 36.459311, 9.987001 36.459311, 9.986658 36.459242, 9.986379 36.459190, 9.985971 36.459156, 9.985220 36.459518, 9.985478 36.459363, 9.985478 36.459742, 9.985907 36.460105, 9.985821 36.460347, 9.985886 36.460623, 9.985929 36.460985, 9.985735 36.461434, 9.985628 36.461624, 9.985542 36.461796, 9.985371 36.462107, 9.985521 36.462555, 9.985693 36.462918, 9.985993 36.463004, 9.986186 36.463004, 9.986444 36.463004, 9.986916 36.462797, 9.987280 36.462624, 9.987473 36.462624, 9.987624 36.462555, 9.987752 36.462538, 9.987881 36.462452, 9.987988 36.462400, 9.988074 36.462348, 9.988096 36.462193, 9.988031 36.462090, 9.987967 36.461969, 9.987946 36.461848, 9.987988 36.461865, 9.988182 36.461917, 9.988310 36.461986, 9.988525 36.462072, 9.988675 36.462400, 9.988739 36.462590, 9.988954 36.462452, 9.989319 36.462176, 9.989491 36.462072, 9.989555 36.462435, 9.989662 36.462624, 9.989855 36.462521, 9.990005 36.462331, 9.990005 36.462383, 9.990542 36.461969, 9.990735 36.461865, 9.991271 36.461779, 9.991336 36.461951, 9.991465 36.461917, 9.991615 36.461796, 9.991980 36.461520, 9.992301 36.461123, 9.992366 36.460951, 9.992323 36.460726, 9.992387 36.460433, 9.992366 36.460174, 9.992194 36.459915, 9.992087 36.459691, 9.992023 36.459466, 9.991980 36.459294, 9.992044 36.459190, 9.992216 36.459225, 9.992409 36.459397, 9.992516 36.459656, 9.992688 36.459846, 9.992816 36.460174, 9.992924 36.460381, 9.993010 36.460743, 9.992988 36.461071, 9.993181 36.461158, 9.992194 36.462020, 9.994555 36.464005, 9.994619 36.464022, 10.000348 36.458672, 9.995434 36.455635, 9.998481 36.453460, 9.997580 36.452770))",Arbequina,2010,133363,1667,4.0,1.5,2010-08-17,85.00,Bloc B-Olivier-Arbequina-2010
Bloc C,olivier,,polygon,77.30,,"POLYGON((10.000434 36.458672, 9.994576 36.464022, 9.992194 36.462072, 9.989448 36.464178, 9.989619 36.464506, 9.989812 36.464592, 9.989812 36.464730, 9.989855 36.465092, 9.989898 36.465437, 9.989898 36.465869, 9.989898 36.466093, 9.989834 36.466257, 9.989877 36.466395, 9.989930 36.466438, 9.990038 36.466421, 9.990199 36.466343, 9.990907 36.465826, 9.991035 36.465869, 9.990993 36.466067, 9.990917 36.466214, 9.990810 36.466378, 9.990778 36.466395, 9.990928 36.466568, 9.992419 36.465403, 9.996936 36.469130, 10.006163 36.462555, 10.005863 36.462055, 10.000434 36.458672))",Arbequina,2010,128820,1666,4.0,1.5,2010-08-17,85.00,Bloc C-Olivier-Arbequina-2010
Bloc E1,olivier,,polygon,45.00,,"POLYGON((10.006206 36.462590, 9.998503 36.468026, 10.002558 36.471391, 10.004103 36.470166, 10.004532 36.470442, 10.009081 36.466852, 10.009071 36.466783, 10.008384 36.465696, 10.007043 36.463755, 10.006528 36.462961, 10.006324 36.462694, 10.006281 36.462642, 10.006206 36.462616, 10.006206 36.462590))",Arbequina,2010,75000,1667,4.0,1.5,2010-07-17,48.00,Bloc E1-Olivier-Arbequina-2010
Bloc E2,olivier,,polygon,35.00,,"POLYGON((10.011163 36.465489, 10.004618 36.470528, 10.007923 36.473185, 10.008008 36.473392, 10.008373 36.473617, 10.008523 36.473513, 10.008674 36.473392, 10.008931 36.473254, 10.008931 36.472909, 10.008888 36.472668, 10.008738 36.472374, 10.009017 36.471322, 10.009983 36.472012, 10.009747 36.472391, 10.009682 36.472719, 10.009747 36.473185, 10.009854 36.473444, 10.010111 36.473323, 10.010369 36.472737, 10.010691 36.472443, 10.011141 36.472288, 10.011528 36.472271, 10.011678 36.472409, 10.011849 36.472374, 10.012021 36.472288, 10.012150 36.472012, 10.012236 36.471770, 10.012472 36.471598, 10.012622 36.471667, 10.012815 36.471546, 10.012987 36.471408, 10.013115 36.471270, 10.013309 36.470925, 10.013201 36.470545, 10.013115 36.470304, 10.012987 36.470131, 10.013030 36.469958, 10.013158 36.469700, 10.013158 36.469424, 10.013158 36.469216, 10.012579 36.468958, 10.012171 36.468509, 10.011957 36.468233, 10.011914 36.467888, 10.011978 36.467508, 10.012193 36.467267, 10.012386 36.466887, 10.012515 36.466559, 10.012515 36.466283, 10.012729 36.466024, 10.012729 36.465783, 10.012987 36.465472, 10.013072 36.465230, 10.013180 36.465075, 10.013008 36.464954, 10.013072 36.465040, 10.012987 36.464971, 10.012751 36.464868, 10.012493 36.464851, 10.012150 36.464902, 10.011849 36.465023, 10.011249 36.465317, 10.009832 36.466317, 10.008824 36.467163, 10.008330 36.467525, 10.007794 36.467940, 10.007322 36.468285, 10.004640 36.470493, 10.011163 36.465489))",Arbequina,2010,58310,1666,4.0,1.5,2010-08-17,38.00,Bloc E2-Olivier-Arbequina-2010
Bloc F1,olivier,,polygon,21.00,,"POLYGON((10.010304 36.459872, 10.005841 36.462003, 10.009253 36.466740, 10.011549 36.465075, 10.011592 36.464885, 10.011710 36.464635, 10.011721 36.464531, 10.011549 36.464402, 10.011420 36.464307, 10.011399 36.464255, 10.011420 36.464195, 10.011914 36.463824, 10.011935 36.463729, 10.011914 36.463591, 10.011839 36.463470, 10.011753 36.463401, 10.011388 36.463427, 10.011163 36.463427, 10.011077 36.463392, 10.011055 36.463306, 10.011098 36.463237, 10.011281 36.463116, 10.011388 36.462996, 10.011442 36.462918, 10.011334 36.462780, 10.011238 36.462676, 10.011195 36.462469, 10.011184 36.462322, 10.011120 36.462176, 10.011034 36.462133, 10.010916 36.462133, 10.010680 36.462305, 10.010294 36.462495, 10.009865 36.462607, 10.009650 36.462642, 10.009478 36.462650, 10.009124 36.462504, 10.009178 36.462504, 10.008845 36.462236, 10.008684 36.462107, 10.008438 36.461943, 10.008234 36.461813, 10.008116 36.461727, 10.007987 36.461701, 10.007901 36.461641, 10.008105 36.461477, 10.008341 36.461313, 10.009661 36.462297, 10.009693 36.462305, 10.010970 36.461270, 10.011002 36.461080, 10.010980 36.460916, 10.011002 36.460778, 10.011055 36.460640, 10.011088 36.460528, 10.011077 36.460398, 10.010970 36.460260, 10.010712 36.460088, 10.010476 36.459950, 10.010347 36.459889, 10.010304 36.459872))",Arbosana,2010,35000,1667,0.0,0.0,2010-09-01,23.00,Bloc F1-Olivier-Arbosana-2010
Bloc F2,olivier,,polygon,35.00,,"POLYGON((10.011141 36.459225, 10.014392 36.461900, 10.013427 36.462659, 10.014296 36.463306, 10.021130 36.460027, 10.015841 36.455816, 10.010905 36.457447, 10.011013 36.457741, 10.011152 36.457913, 10.011184 36.458198, 10.011259 36.458396, 10.011141 36.459225))",Arbosana,2010,58300,1666,4.0,1.5,2010-10-17,37.00,Bloc F2-Olivier-Arbosana-2010
Bloc F3,olivier,,polygon,19.30,,"POLYGON((10.021666 36.453961, 10.015841 36.455825, 10.021151 36.460036, 10.021312 36.459820, 10.021398 36.459579, 10.021473 36.459492, 10.021559 36.459320, 10.021709 36.459009, 10.021806 36.458767, 10.022042 36.458224, 10.022085 36.458112, 10.022085 36.457715, 10.022063 36.456869, 10.021945 36.454505, 10.021945 36.454280, 10.021924 36.454155, 10.021881 36.454073, 10.021806 36.454013, 10.021736 36.453978, 10.021666 36.453961))",Arbosana,2014,32200,1668,4.0,1.5,2014-01-17,22.00,Bloc F3-Olivier-Arbosana-2014
Bloc G,olivier,,polygon,73.00,,"POLYGON((10.021076 36.460053, 10.015390 36.462797, 10.014317 36.463349, 10.013459 36.462676, 10.014274 36.461934, 10.014253 36.461882, 10.012064 36.460070, 10.011871 36.460398, 10.011892 36.460743, 10.011742 36.461002, 10.011849 36.461347, 10.011828 36.461675, 10.011828 36.462055, 10.012150 36.461986, 10.012364 36.462003, 10.012279 36.462400, 10.012343 36.462676, 10.012493 36.463004, 10.012708 36.463159, 10.013137 36.463021, 10.012815 36.463073, 10.013351 36.464040, 10.013480 36.464419, 10.013716 36.464678, 10.013995 36.465006, 10.014102 36.465420, 10.013931 36.465817, 10.013652 36.466041, 10.013480 36.466421, 10.013416 36.466818, 10.013373 36.467284, 10.013137 36.467629, 10.012879 36.467853, 10.012794 36.468181, 10.013072 36.468492, 10.013523 36.468716, 10.013888 36.468802, 10.014145 36.468647, 10.014253 36.469009, 10.014274 36.469475, 10.014253 36.469907, 10.014553 36.470183, 10.015004 36.470424, 10.015476 36.470718, 10.015862 36.471253, 10.016377 36.471598, 10.016634 36.471770, 10.016999 36.471770, 10.017407 36.471667, 10.017707 36.471477, 10.017986 36.471270, 10.018051 36.471132, 10.017793 36.470856, 10.017536 36.470718, 10.017149 36.470769, 10.016892 36.470666, 10.016613 36.470476, 10.016613 36.470269, 10.016763 36.469872, 10.016913 36.469665, 10.016892 36.469493, 10.016742 36.469285, 10.016634 36.469061, 10.016677 36.468854, 10.016570 36.468647, 10.016592 36.468492, 10.016484 36.468336, 10.016699 36.468009, 10.016849 36.467732, 10.017042 36.467732, 10.017214 36.467681, 10.017493 36.467405, 10.017750 36.467232, 10.017858 36.467111, 10.018179 36.466490, 10.018501 36.466317, 10.018888 36.465972, 10.018759 36.466119, 10.018995 36.466205, 10.019231 36.466292, 10.019188 36.466542, 10.019156 36.466732, 10.019306 36.466913, 10.019521 36.467059, 10.019671 36.467189, 10.019692 36.467448, 10.019521 36.467603, 10.019392 36.467793, 10.019338 36.467896, 10.019628 36.468034, 10.020057 36.468043, 10.020593 36.468086, 10.021087 36.468121, 10.021398 36.468172, 10.021656 36.468155, 10.021720 36.468060, 10.021752 36.467983, 10.021698 36.467508, 10.021570 36.467284, 10.021420 36.467129, 10.021355 36.467068, 10.021366 36.466973, 10.021452 36.466887, 10.021505 36.466818, 10.021580 36.466723, 10.021634 36.466637, 10.021613 36.466456, 10.021666 36.466361, 10.021741 36.466317, 10.021913 36.466300, 10.022192 36.466266, 10.022396 36.466248, 10.022535 36.466231, 10.022728 36.466223, 10.022868 36.466266, 10.022986 36.466326, 10.023115 36.466421, 10.023297 36.466447, 10.023694 36.466188, 10.023930 36.465981, 10.024080 36.465843, 10.024188 36.465627, 10.024306 36.465394, 10.024370 36.465179, 10.024499 36.464937, 10.024552 36.464747, 10.024520 36.464618, 10.024509 36.464471, 10.024456 36.464333, 10.024370 36.464221, 10.024155 36.464126, 10.023887 36.464031, 10.023651 36.463979, 10.023469 36.463971, 10.023329 36.463910, 10.023286 36.463850, 10.023394 36.463763, 10.023512 36.463686, 10.023651 36.463556, 10.023748 36.463479, 10.023769 36.463358, 10.023769 36.463168, 10.023683 36.462935, 10.023576 36.462719, 10.023458 36.462512, 10.023286 36.462288, 10.023061 36.461995, 10.022954 36.461753, 10.022857 36.461399, 10.022836 36.461063, 10.022814 36.460743, 10.022664 36.460416, 10.022460 36.460114, 10.022299 36.459906, 10.022149 36.459708, 10.022106 36.459579, 10.022235 36.459466, 10.022514 36.459268, 10.022696 36.459156, 10.022852 36.459022, 10.022975 36.458901, 10.023061 36.458819, 10.023104 36.458742, 10.023099 36.458586, 10.023034 36.458327, 10.022997 36.458068, 10.022997 36.457917, 10.022948 36.457620, 10.022814 36.456985, 10.022712 36.456593, 10.022675 36.456541, 10.022621 36.456511, 10.022551 36.456511, 10.022460 36.456532, 10.022380 36.456545, 10.022283 36.456632, 10.022197 36.456692, 10.022133 36.456834, 10.022069 36.457011, 10.022079 36.457270, 10.022085 36.457568, 10.022085 36.458120, 10.021473 36.459479, 10.021387 36.459604, 10.021323 36.459816, 10.021151 36.460036, 10.021076 36.460053))",Koroneiki,2010,91041,1247,4.0,2.0,2010-10-17,88.00,Bloc G-Olivier-Koroneiki-2010
Bloc H1,olivier,,polygon,40.00,,"POLYGON((10.005970 36.444658, 10.005991 36.444778, 10.005991 36.444640, 10.006034 36.444520, 10.006077 36.444433, 10.005884 36.444709, 10.005541 36.445314, 10.005090 36.445762, 10.004575 36.446056, 10.004597 36.446470, 10.004940 36.446798, 10.005326 36.446936, 10.005884 36.447074, 10.006185 36.447160, 10.006335 36.447178, 10.006721 36.447091, 10.006356 36.447557, 10.006485 36.447868, 10.006721 36.448127, 10.006828 36.448576, 10.006764 36.449076, 10.006936 36.449491, 10.007257 36.449663, 10.007558 36.449819, 10.007772 36.449767, 10.007987 36.449611, 10.007923 36.450043, 10.008137 36.450423, 10.008438 36.450820, 10.008738 36.450802, 10.015261 36.448576, 10.009682 36.443156, 10.003760 36.444830, 10.003695 36.445538, 10.003846 36.446073, 10.004146 36.446090, 10.004532 36.445918, 10.005026 36.445590, 10.005970 36.444658))",Arbequina,2018,47520,1188,5.0,1.75,2018-09-01,30.00,Bloc H1
